Zak³ad Energetyczny U¿ytecznoœci Publicznej S.A.;ZEUP_PGED_P_1761;MB_WSOR_PGE_O1_5884;DDGD/ZEUP_PGED_P_1761/2017-03-17/479287;2017-03-17 10:40:25

PPE;URD;Data;01:00;Status;02:00;Status;03:00;Status;04:00;Status;05:00;Status;06:00;Status;07:00;Status;08:00;Status;09:00;Status;10:00;Status;11:00;Status;12:00;Status;13:00;Status;14:00;Status;15:00;Status;16:00;Status;17:00;Status;18:00;Status;19:00;Status;20:00;Status;21:00;Status;22:00;Status;23:00;Status;00:00;Status
PL_ZEWD_1434004524_03;;2017-03-09;0,3815249440;0;0,3323506180;0;0,31708962;0;0,3153939530;0;0,3628726130;0;0,4357862690;0;0,58670058;0;0,6663969020;0;0,6647012350;0;0,6426575720;0;0,6138312430;0;0,5985702450;0;0,6053529110;0;0,6087442430;0;0,6172225750;0;0,6460489050;0;0,6867448990;0;0,7613542210;0;0,9626146540;0;1,0168201390;0;0,9738295820;0;0,8598111470;0;0,70467131;0;0,53644739;0
PL_ZEWD_1434004525_05;;2017-03-09;0,02172313;0;0,01892326;0;0,0180543350;0;0,0179577880;0;0,02066111;0;0,0248126420;0;0,0334053470;0;0,0379430670;0;0,03784652;0;0,0365914060;0;0,0349501030;0;0,0340811780;0;0,0344673670;0;0,0346604610;0;0,0351431970;0;0,03678450;0;0,0391016340;0;0,0433497130;0;0,0497218310;0;0,0525217010;0;0,0503011150;0;0,0444117330;0;0,0363983110;0;0,0277090590;0
PL_ZEWD_1434004526_07;;2017-03-09;0,3575980880;0;0,3115076680;0;0,2972037440;0;0,2956144190;0;0,3401155150;0;0,4084564830;0;0,5499063930;0;0,62460466;0;0,6230153360;0;0,6023541130;0;0,5753355910;0;0,5610316670;0;0,5673889660;0;0,5705676160;0;0,57851424;0;0,6055327620;0;0,6436765580;0;0,7136068510;0;0,8313490190;0;0,8781628480;0;0,8410346390;0;0,7425641730;0;0,6085797670;0;0,4632954730;0
PL_ZEWD_1434004527_09;;2017-03-09;0,4068910580;0;0,3544473210;0;0,3381716790;0;0,3363632740;0;0,3869986060;0;0,4647600080;0;0,6257080260;0;0,7107030470;0;0,7088946430;0;0,6853853810;0;0,6546425010;0;0,6383668590;0;0,6456004780;0;0,6492172870;0;0,6582593110;0;0,6890021910;0;0,7324039040;0;0,81197371;0;0,8472600050;0;0,8949697920;0;0,8571309960;0;0,7567759270;0;0,6202272270;0;0,4721623720;0
PL_ZEWD_1434004528_01;;2017-03-09;0,4292969530;0;0,3739653460;0;0,3567934670;0;0,3548854810;0;0,4083091020;0;0,4903525190;0;0,6601633140;0;0,7498386780;0;0,7479306910;0;0,7231268670;0;0,6906910970;0;0,6735192190;0;0,6811511650;0;0,6849671380;0;0,69450707;0;0,72694284;0;0,7727345150;0;0,8566859190;0;0,8949929630;0;0,9453906250;0;0,9054200660;0;0,7994111910;0;0,6551696060;0;0,4987630690;0
PL_ZEWD_1434004529_03;;2017-03-09;0,49830711;0;0,43408086;0;0,4141485760;0;0,4119338780;0;0,4739454290;0;0,5691774550;0;0,76628560;0;0,8703764190;0;0,8681617210;0;0,8393706430;0;0,8017207730;0;0,7817884880;0;0,7906472810;0;0,7950766780;0;0,8061501690;0;0,84380004;0;0,8969527980;0;0,9943995220;0;0,9148816960;0;0,9663993060;0;0,9255405120;0;0,8171758840;0;0,6697289310;0;0,5098466930;0
PL_ZEWD_1434004530_04;;2017-03-09;0,2910899440;0;0,2535716850;0;0,2419280870;0;0,2406343540;0;0,27685888;0;0,3324894030;0;0,4476316480;0;0,5084371030;0;0,50714337;0;0,49032484;0;0,4683313770;0;0,4566877790;0;0,4618627120;0;0,4644501780;0;0,4709188430;0;0,4929123060;0;0,52396190;0;0,5808861560;0;0,6662725390;0;0,7037907990;0;0,6740349380;0;0,59511722;0;0,4877373730;0;0,3713013960;0
PL_ZEWD_1434004531_06;;2017-03-09;0,3459470230;0;0,3013582950;0;0,2875204140;0;0,2859828720;0;0,3290340570;0;0,3951483770;0;0,5319896430;0;0,6042541330;0;0,60271659;0;0,58272854;0;0,5565903210;0;0,54275244;0;0,5489026090;0;0,5519776940;0;0,5596654050;0;0,5858036250;0;0,6227046410;0;0,6903565030;0;0,80748254;0;0,8529524310;0;0,8168901040;0;0,7212465410;0;0,5911085780;0;0,4499951240;0
PL_ZEWD_1434004532_08;;2017-03-09;0,3558056160;0;0,3099462260;0;0,2957140010;0;0,2941326430;0;0,3384106750;0;0,4064090820;0;0,54714997;0;0,62147381;0;0,6198924520;0;0,5993347940;0;0,5724517030;0;0,5582194780;0;0,5645449110;0;0,5677076280;0;0,5756144190;0;0,60249751;0;0,64045011;0;0,7100298750;0;0,8492488790;0;0,89707066;0;0,85914304;0;0,7585523960;0;0,62168316;0;0,4732707340;0
PL_ZEWD_1434004533_00;;2017-03-09;0,4257733510;0;0,3708958970;0;0,3538649630;0;0,3519726370;0;0,4049577650;0;0,4863277840;0;0,6547447980;0;0,7436841210;0;0,7417917950;0;0,7171915560;0;0,6850220140;0;0,66799108;0;0,6755603840;0;0,6793450360;0;0,6888066660;0;0,7209762090;0;0,7663920330;0;0,8496543770;0;0,9745478930;0;1,0294253480;0;0,9859018490;0;0,8704699630;0;0,7134069040;0;0,5430975640;0
PL_ZEWD_1434000410_00;;2017-03-09;30,7860;0;31,8960;0;31,6680;0;31,9680;0;31,0920;0;31,59;0;31,47;0;28,9920;0;32,46;0;32,3520;0;37,8960;0;39,0780;0;32,31;0;32,8560;0;29,9760;0;32,2980;0;26,70;0;28,3680;0;29,6280;0;31,02;0;29,6940;0;29,9160;0;29,9040;0;30,1680;0
