Zak³ad Energetyczny U¿ytecznoœci Publicznej S.A.;ZEUP_PGED_P_1761;MB_WSOR_PGE_O1_5884;DDGD/ZEUP_PGED_P_1761/2017-03-12/478760;2017-03-12 10:48:40

PPE;URD;Data;01:00;Status;02:00;Status;03:00;Status;04:00;Status;05:00;Status;06:00;Status;07:00;Status;08:00;Status;09:00;Status;10:00;Status;11:00;Status;12:00;Status;13:00;Status;14:00;Status;15:00;Status;16:00;Status;17:00;Status;18:00;Status;19:00;Status;20:00;Status;21:00;Status;22:00;Status;23:00;Status;00:00;Status
PL_ZEWD_1408000677_01;;2017-03-04;30,48;0;30,2160;0;29,6280;0;28,4520;0;28,7520;0;29,9280;0;34,98;0;34,5360;0;32,58;0;32,40;0;38,8320;0;32,6640;0;35,4840;0;41,28;0;40,8120;0;38,40;0;38,94;0;37,4760;0;40,4760;0;46,4520;0;51,2280;0;44,1720;0;39,1560;0;30,78;0
PL_ZEWD_1432001305_02;;2017-03-04;54,482880;0;53,691840;0;52,2828;0;50,577120;0;51,0468;0;52,876080;0;57,3504;0;50,231040;0;57,770640;0;50,824320;0;40,2936;0;32,432640;0;28,971840;0;27,340320;0;31,666320;0;30,5292;0;39,131760;0;36,906960;0;44,693760;0;45,830880;0;46,448880;0;44,026320;0;39,601440;0;40,343040;0
PL_ZEWD_1434002713_04;;2017-03-04;21,398250;0;21,0635;0;21,089250;0;21,1665;0;20,9605;0;18,54;0;10,7635;0;11,355750;0;11,2785;0;11,613250;0;11,2785;0;11,149750;0;11,046750;0;10,7635;0;10,5060;0;10,6605;0;10,2485;0;13,621750;0;16,2225;0;16,1195;0;16,402750;0;15,9650;0;15,784750;0;15,475750;0
PL_ZEWD_1434004825_09;;2017-03-04;0,1165721090;0;0,1015773570;0;0,0919033230;0;0,0904522180;0;0,0957729360;0;0,1068980750;0;0,1364038790;0;0,1721978050;0;0,2017036080;0;0,2200842730;0;0,2229864830;0;0,22782350;0;0,2273397980;0;0,2273397980;0;0,2258886930;0;0,2225027810;0;0,2171820630;0;0,2258886930;0;0,2524922870;0;0,2616826190;0;0,2437856560;0;0,2166983610;0;0,1857414520;0;0,15091493;0
