DR_ENID_EUPX_20170802_24.csv;;;;;;;;;;;;;;;
kOSD;ENID;;;;;;;;;;;;;;
kSE;EUPX;;;;;;;;;;;;;;
DCW;2017-08-02 10:16:36;;;;;;;;;;;;;;
NR;1;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
PPE;Nr licznika;Kod OT;Taryfa;Strefa;Data od;Data do;Wskazanie poprzednie;Wskazanie biezace;Zuzycie brutto[kWh];Straty[kWh];Mnozna;Wersja danych;Status Odczytu;Status Rozliczenia;Rodzaj Odczytu
ENID_4081037147;97612692;0;C22B;4;2017-07-01;2017-07-31;44832,67;45610,76;46685;0;60;1;Z;F;R
ENID_4081037147;97612692;0;C22B;5;2017-07-01;2017-07-31;8807,34;9060,09;15165;0;60;1;Z;F;R
ENID_4081037148;97612697;0;C22B;4;2017-07-01;2017-07-31;6646,5;6726,25;4785;0;60;1;Z;F;R
ENID_4081037148;97612697;0;C22B;5;2017-07-01;2017-07-31;1155,89;1177,38;1289;0;60;1;Z;F;R
ENID_4081037149;97612690;0;C22B;4;2017-07-01;2017-07-31;32444,46;32978,07;10672;0;20;1;Z;F;R
ENID_4081037149;97612690;0;C22B;5;2017-07-01;2017-07-31;5762,49;5912,36;2997;0;20;1;Z;F;R
ENID_4081037157;97612700;0;C22B;4;2017-07-01;2017-07-31;20336,1;20712,84;22604;0;60;1;Z;F;R
ENID_4081037157;97612700;0;C22B;5;2017-07-01;2017-07-31;3477,2;3603,24;7562;0;60;1;Z;F;R
ENID_4081037158;97612701;0;C22B;4;2017-07-01;2017-07-31;14187,64;14438,07;15025;0;60;1;Z;F;R
ENID_4081037158;97612701;0;C22B;5;2017-07-01;2017-07-31;2420,55;2503,61;4984;0;60;1;Z;F;R
ENID_4081037159;97612702;0;C22B;4;2017-07-01;2017-07-31;17301,39;17542,5;14467;0;60;1;Z;F;R
ENID_4081037159;97612702;0;C22B;5;2017-07-01;2017-07-31;4286,6;4415,05;7707;0;60;1;Z;F;R
