DR_ENID_EUPX_20170303_4.csv;;;;;;;;;;;;;;;
kOSD;ENID;;;;;;;;;;;;;;
kSE;EUPX;;;;;;;;;;;;;;
DCW;2017-03-03 10:49:30;;;;;;;;;;;;;;
NR;1;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
PPE;Nr licznika;Kod OT;Taryfa;Strefa;Data od;Data do;Wskazanie poprzednie;Wskazanie biezace;Zuzycie brutto[kWh];Straty[kWh];Mnozna;Wersja danych;Status Odczytu;Status Rozliczenia;Rodzaj Odczytu
ENID_4081037147;97612692;0;C22B;4;2017-02-01;2017-02-28;41194,33;42029,05;50083;0;60;1;Z;F;R
ENID_4081037147;97612692;0;C22B;5;2017-02-01;2017-02-28;7470,28;7748,5;16693;0;60;1;Z;F;R
ENID_4081037148;97612697;0;C22B;4;2017-02-01;2017-02-28;6375,97;6454,15;4691;0;60;1;Z;F;R
ENID_4081037148;97612697;0;C22B;5;2017-02-01;2017-02-28;994,85;1044,3;2967;0;60;1;Z;F;R
ENID_4081037149;97612690;0;C22B;4;2017-02-01;2017-02-28;30495,52;30829,17;6673;0;20;1;Z;F;R
ENID_4081037149;97612690;0;C22B;5;2017-02-01;2017-02-28;5032,08;5155,62;2471;0;20;1;Z;F;R
ENID_4081037153;97612698;0;C12A;2;;2017-01-06;;6206,285;;;20;1;S;F;N
ENID_4081037153;97612698;0;C12A;2;2017-01-06;2017-01-26;6206,285;6268,84;12,258;0;20;1;S;F;R
ENID_4081037153;97612698;0;C12A;2;2017-01-27;2017-02-25;6268,84;6354,4;1730;0;20;1;Z;F;R
ENID_4081037153;97612698;0;C12A;3;;2017-01-06;;5245,303;;;20;1;S;F;N
ENID_4081037153;97612698;0;C12A;3;2017-01-06;2017-01-26;5245,303;5370,09;36,774;0;20;1;S;F;R
ENID_4081037153;97612698;0;C12A;3;2017-01-27;2017-02-25;5370,09;5538,79;3431;0;20;1;Z;F;R
ENID_4081037157;97612700;0;C22B;4;2017-02-01;2017-02-28;18676,1;19029,48;21203;0;60;1;Z;F;R
ENID_4081037157;97612700;0;C22B;5;2017-02-01;2017-02-28;2918,23;3037,16;7136;0;60;1;Z;F;R
ENID_4081037158;97612701;0;C22B;4;2017-02-01;2017-02-28;13081,25;13307,97;13603;0;60;1;Z;F;R
ENID_4081037158;97612701;0;C22B;5;2017-02-01;2017-02-28;2035,16;2110,21;4503;0;60;1;Z;F;R
ENID_4081037159;97612702;0;C22B;4;2017-02-01;2017-02-28;16160,78;16390,23;13767;0;60;1;Z;F;R
ENID_4081037159;97612702;0;C22B;5;2017-02-01;2017-02-28;3676,24;3795,8;7174;0;60;1;Z;F;R
ENID_4081037160;97612696;0;C12A;2;;2017-01-06;;6305,864;;;40;1;S;F;N
ENID_4081037160;97612696;0;C12A;2;2017-01-06;2017-01-26;6305,864;6361,67;11,355;0;40;1;S;F;R
ENID_4081037160;97612696;0;C12A;2;2017-01-27;2017-02-25;6361,67;6439,37;3126;0;40;1;Z;F;R
ENID_4081037160;97612696;0;C12A;3;;2017-01-06;;4031,165;;;40;1;S;F;N
ENID_4081037160;97612696;0;C12A;3;2017-01-06;2017-01-26;4031,165;4140,3;50,323;0;40;1;S;F;R
ENID_4081037160;97612696;0;C12A;3;2017-01-27;2017-02-25;4140,3;4284,76;5857;0;40;1;Z;F;R
ENID_4081037161;97612693;0;C12A;2;2017-01-26;2017-02-25;4511;4571,07;2403;0;40;1;Z;F;R
ENID_4081037161;97612693;0;C12A;2;2017-02-26;2017-02-28;4571,07;4574,38;132;0;40;1;F;O;P
ENID_4081037161;97612693;0;C12A;3;2017-01-26;2017-02-25;4294,21;4424,15;5197;0;40;1;Z;F;R
ENID_4081037161;97612693;0;C12A;3;2017-02-26;2017-02-28;4424,15;4432,78;345;0;40;1;F;O;P
