DR_GZEO_EUPX_20170603_6.csv;;;;;;;;;;;;;;;
kOSD;GZEO;;;;;;;;;;;;;;
kSE;EUPX;;;;;;;;;;;;;;
DCW;2017-06-03 10:14:19;;;;;;;;;;;;;;
NR;1;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
PPE;Nr licznika;Kod OT;Taryfa;Strefa;Data od;Data do;Wskazanie poprzednie;Wskazanie biezace;Zuzycie brutto[kWh];Straty[kWh];Mnozna;Wersja danych;Status Odczytu;Status Rozliczenia;Rodzaj Odczytu
PLGZEO00000590748333000013399861;87064334;0;C21;1;2017-05-01;2017-05-31;173621;187032;13411;0;1;1;Z;F;R
PLGZEO00000590748333000013400323;94033443;0;C21;1;2017-05-01;2017-05-31;24186;26730;2544;0;1;1;Z;F;R
