DR_GZEO_EUPX_20170905_12.csv;;;;;;;;;;;;;;;
kOSD;GZEO;;;;;;;;;;;;;;
kSE;EUPX;;;;;;;;;;;;;;
DCW;2017-09-05 10:18:11;;;;;;;;;;;;;;
NR;1;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
PPE;Nr licznika;Kod OT;Taryfa;Strefa;Data od;Data do;Wskazanie poprzednie;Wskazanie biezace;Zuzycie brutto[kWh];Straty[kWh];Mnozna;Wersja danych;Status Odczytu;Status Rozliczenia;Rodzaj Odczytu
PLGZEO00000590748333000013399861;87064334;0;C21;1;2017-08-01;2017-08-31;212318;222156;9838;0;1;1;Z;F;R
PLGZEO00000590748333000013400323;94033443;0;C21;1;2017-08-01;2017-08-31;32007;35770;3763;0;1;1;Z;F;R
