DR_ENID_EUPX_20170228_1.csv;;;;;;;;;;;;;;;
kOSD;ENID;;;;;;;;;;;;;;
kSE;EUPX;;;;;;;;;;;;;;
DCW;2017-02-28 11:29:14;;;;;;;;;;;;;;
NR;1;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
PPE;Nr licznika;Kod OT;Taryfa;Strefa;Data od;Data do;Wskazanie poprzednie;Wskazanie biezace;Zuzycie brutto[kWh];Straty[kWh];Mnozna;Wersja danych;Status Odczytu;Status Rozliczenia;Rodzaj Odczytu
ENID_4081037150;97612694;0;C12A;2;;2017-02-20;;4181,808;;;40;1;S;F;N
ENID_4081037150;97612694;0;C12A;2;2017-02-20;2017-02-25;4181,808;4193,21;456;0;40;1;S;F;R
ENID_4081037150;97612694;0;C12A;3;;2017-02-20;;3120,384;;;40;1;S;F;N
ENID_4081037150;97612694;0;C12A;3;2017-02-20;2017-02-25;3120,384;3140,29;796,258;0;40;1;S;F;R
ENID_4081037151;97612689;0;C12A;2;;2017-02-20;;4340,399;;;30;1;S;F;N
ENID_4081037151;97612689;0;C12A;2;2017-02-20;2017-02-25;4340,399;4354,95;436,452;0;30;1;S;F;R
ENID_4081037151;97612689;0;C12A;3;;2017-02-20;;3497,054;;;30;1;S;F;N
ENID_4081037151;97612689;0;C12A;3;2017-02-20;2017-02-25;3497,054;3523,5;793,355;0;30;1;S;F;R
ENID_4081037152;97612688;0;C12A;2;;2017-02-20;;7109,941;;;30;1;S;F;N
ENID_4081037152;97612688;0;C12A;2;2017-02-20;2017-02-25;7109,941;7121,32;341,419;0;30;1;S;F;R
ENID_4081037152;97612688;0;C12A;3;;2017-02-20;;5242,521;;;30;1;S;F;N
ENID_4081037152;97612688;0;C12A;3;2017-02-20;2017-02-25;5242,521;5267,75;756,968;0;30;1;S;F;R
ENID_4081037153;97612698;0;C12A;2;;2017-02-20;;6337,656;;;20;1;S;O;N
ENID_4081037153;97612698;0;C12A;2;2017-02-20;2017-02-25;6337,656;6354,4;334,839;0;20;1;S;O;R
ENID_4081037153;97612698;0;C12A;3;;2017-02-20;;5505,587;;;20;1;S;O;N
ENID_4081037153;97612698;0;C12A;3;2017-02-20;2017-02-25;5505,587;5538,79;664,065;0;20;1;S;O;R
ENID_4081037154;97612699;0;C12A;2;;2017-02-20;;4755,695;;;30;1;S;F;N
ENID_4081037154;97612699;0;C12A;2;2017-02-20;2017-02-25;4755,695;4770,49;443,806;0;30;1;S;F;R
ENID_4081037154;97612699;0;C12A;3;;2017-02-20;;4085,069;;;30;1;S;F;N
ENID_4081037154;97612699;0;C12A;3;2017-02-20;2017-02-25;4085,069;4115,87;924;0;30;1;S;F;R
ENID_4081037155;97612691;0;C12A;2;;2017-02-20;;4201,953;;;40;1;S;F;N
ENID_4081037155;97612691;0;C12A;2;2017-02-20;2017-02-25;4201,953;4215,36;536,323;0;40;1;S;F;R
ENID_4081037155;97612691;0;C12A;3;;2017-02-20;;3286,135;;;40;1;S;F;N
ENID_4081037155;97612691;0;C12A;3;2017-02-20;2017-02-25;3286,135;3310,88;989,806;0;40;1;S;F;R
ENID_4081037156;97612695;0;C12A;2;;2017-02-20;;5180,72;;;20;1;S;F;N
ENID_4081037156;97612695;0;C12A;2;2017-02-20;2017-02-25;5180,72;5205,31;491,806;0;20;1;S;F;R
ENID_4081037156;97612695;0;C12A;3;;2017-02-20;;4505,866;;;20;1;S;F;N
ENID_4081037156;97612695;0;C12A;3;2017-02-20;2017-02-25;4505,866;4558,74;1057,548;0;20;1;S;F;R
ENID_4081037160;97612696;0;C12A;2;;2017-02-20;;6424,246;;;40;1;S;O;N
ENID_4081037160;97612696;0;C12A;2;2017-02-20;2017-02-25;6424,246;6439,37;605,032;0;40;1;S;O;R
ENID_4081037160;97612696;0;C12A;3;;2017-02-20;;4256,423;;;40;1;S;O;N
ENID_4081037160;97612696;0;C12A;3;2017-02-20;2017-02-25;4256,423;4284,76;1133,613;0;40;1;S;O;R
