DR_ENID_EUPX_20170902_27.csv;;;;;;;;;;;;;;;
kOSD;ENID;;;;;;;;;;;;;;
kSE;EUPX;;;;;;;;;;;;;;
DCW;02.09.2017 10:17;;;;;;;;;;;;;;
NR;1;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
PPE;Nr licznika;Kod OT;Taryfa;Strefa;Data od;Data do;Wskazanie poprzednie;Wskazanie biezace;Zuzycie brutto[kWh];Straty[kWh];Mnozna;Wersja danych;Status Odczytu;Status Rozliczenia;Rodzaj Odczytu
ENID_4081037147;97612692;0;C22B;4;01.08.2017;31.08.2017;45610,76;46427,79;49022;0;60;1;Z;F;R
ENID_4081037147;97612692;0;C22B;5;01.08.2017;31.08.2017;9060,09;9308,69;14916;0;60;1;Z;F;R
ENID_4081037148;97612697;0;C22B;4;01.08.2017;31.08.2017;6726,25;6880,23;9239;0;60;1;Z;F;R
ENID_4081037148;97612697;0;C22B;5;01.08.2017;31.08.2017;1177,38;1198,8;1285;0;60;1;Z;F;R
ENID_4081037149;97612690;0;C22B;4;01.08.2017;31.08.2017;32978,07;33595,85;12356;0;20;1;Z;F;R
ENID_4081037149;97612690;0;C22B;5;01.08.2017;31.08.2017;5912,36;6076,43;3281;0;20;1;Z;F;R
ENID_4081037157;97612700;0;C22B;4;01.08.2017;31.08.2017;20712,84;21120,04;24432;0;60;1;Z;F;R
ENID_4081037157;97612700;0;C22B;5;01.08.2017;31.08.2017;3603,24;3731,82;7715;0;60;1;Z;F;R
ENID_4081037158;97612701;0;C22B;4;01.08.2017;31.08.2017;14438,07;14694,79;15404;0;60;1;Z;F;R
ENID_4081037158;97612701;0;C22B;5;01.08.2017;31.08.2017;2503,61;2585,82;4932;0;60;1;Z;F;R
ENID_4081037159;97612702;0;C22B;4;01.08.2017;31.08.2017;17542,5;17783,44;14456;0;60;1;Z;F;R
ENID_4081037159;97612702;0;C22B;5;01.08.2017;31.08.2017;4415,05;4545,87;7849;0;60;1;Z;F;R
