DR_ENID_EUPX_20170302_3.csv;;;;;;;;;;;;;;;
kOSD;ENID;;;;;;;;;;;;;;
kSE;EUPX;;;;;;;;;;;;;;
DCW;2017-03-02 10:45:23;;;;;;;;;;;;;;
NR;1;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
PPE;Nr licznika;Kod OT;Taryfa;Strefa;Data od;Data do;Wskazanie poprzednie;Wskazanie biezace;Zuzycie brutto[kWh];Straty[kWh];Mnozna;Wersja danych;Status Odczytu;Status Rozliczenia;Rodzaj Odczytu
ENID_4081037147;97612692;0;C22B;4;2017-02-01;2017-02-28;41194,33;42029,05;50083;0;60;1;Z;O;R
ENID_4081037147;97612692;0;C22B;5;2017-02-01;2017-02-28;7470,28;7748,5;16693;0;60;1;Z;O;R
ENID_4081037148;97612697;0;C22B;4;2017-02-01;2017-02-28;6375,97;6454,15;4691;0;60;1;Z;O;R
ENID_4081037148;97612697;0;C22B;5;2017-02-01;2017-02-28;994,85;1044,3;2967;0;60;1;Z;O;R
ENID_4081037149;97612690;0;C22B;4;2017-02-01;2017-02-28;30495,52;30829,17;6673;0;20;1;Z;O;R
ENID_4081037149;97612690;0;C22B;5;2017-02-01;2017-02-28;5032,08;5155,62;2471;0;20;1;Z;O;R
ENID_4081037157;97612700;0;C22B;4;2017-02-01;2017-02-28;18676,1;19029,48;21203;0;60;1;Z;O;R
ENID_4081037157;97612700;0;C22B;5;2017-02-01;2017-02-28;2918,23;3037,16;7136;0;60;1;Z;O;R
ENID_4081037158;97612701;0;C22B;4;2017-02-01;2017-02-28;13081,25;13307,97;13603;0;60;1;Z;O;R
ENID_4081037158;97612701;0;C22B;5;2017-02-01;2017-02-28;2035,16;2110,21;4503;0;60;1;Z;O;R
ENID_4081037159;97612702;0;C22B;4;2017-02-01;2017-02-28;16160,78;16390,23;13767;0;60;1;Z;O;R
ENID_4081037159;97612702;0;C22B;5;2017-02-01;2017-02-28;3676,24;3795,8;7174;0;60;1;Z;O;R
