DR_ENID_EUPX_20171002_31.csv;;;;;;;;;;;;;;;
kOSD;ENID;;;;;;;;;;;;;;
kSE;EUPX;;;;;;;;;;;;;;
DCW;2017-10-02 10:17:09;;;;;;;;;;;;;;
NR;1;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
PPE;Nr licznika;Kod OT;Taryfa;Strefa;Data od;Data do;Wskazanie poprzednie;Wskazanie biezace;Zuzycie brutto[kWh];Straty[kWh];Mnozna;Wersja danych;Status Odczytu;Status Rozliczenia;Rodzaj Odczytu
ENID_4081037147;97612692;0;C22B;4;2017-09-01;2017-09-30;46427,79;47146,92;43148;0;60;1;Z;O;R
ENID_4081037147;97612692;0;C22B;5;2017-09-01;2017-09-30;9308,69;9550,46;14507;0;60;1;Z;O;R
ENID_4081037148;97612697;0;C22B;4;2017-09-01;2017-09-30;6880,23;6908,74;1710;0;60;1;Z;O;R
ENID_4081037148;97612697;0;C22B;5;2017-09-01;2017-09-30;1198,8;1221,33;1352;0;60;1;Z;O;R
ENID_4081037149;97612690;0;C22B;4;2017-09-01;2017-09-30;33595,85;34235,16;12786;0;20;1;Z;O;R
ENID_4081037149;97612690;0;C22B;5;2017-09-01;2017-09-30;6076,43;6250,88;3489;0;20;1;Z;O;R
ENID_4081037157;97612700;0;C22B;4;2017-09-01;2017-09-30;21120,04;21441,28;19274;0;60;1;Z;O;R
ENID_4081037157;97612700;0;C22B;5;2017-09-01;2017-09-30;3731,82;3845,27;6807;0;60;1;Z;O;R
ENID_4081037158;97612701;0;C22B;4;2017-09-01;2017-09-30;14694,79;14921,35;13593;0;60;1;Z;O;R
ENID_4081037158;97612701;0;C22B;5;2017-09-01;2017-09-30;2585,82;2660,41;4476;0;60;1;Z;O;R
ENID_4081037159;97612702;0;C22B;4;2017-09-01;2017-09-30;17783,44;18015,14;13902;0;60;1;Z;O;R
ENID_4081037159;97612702;0;C22B;5;2017-09-01;2017-09-30;4545,87;4675,16;7757;0;60;1;Z;O;R
