DR_ENID_EUPX_20170702_18.csv;;;;;;;;;;;;;;;
kOSD;ENID;;;;;;;;;;;;;;
kSE;EUPX;;;;;;;;;;;;;;
DCW;2017-07-02 10:14:01;;;;;;;;;;;;;;
NR;1;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
PPE;Nr licznika;Kod OT;Taryfa;Strefa;Data od;Data do;Wskazanie poprzednie;Wskazanie biezace;Zuzycie brutto[kWh];Straty[kWh];Mnozna;Wersja danych;Status Odczytu;Status Rozliczenia;Rodzaj Odczytu
ENID_4081037147;97612692;0;C22B;4;2017-06-01;2017-06-30;44151,09;44832,67;40895;0;60;1;Z;O;R
ENID_4081037147;97612692;0;C22B;5;2017-06-01;2017-06-30;8549,44;8807,34;15475;0;60;1;Z;O;R
ENID_4081037148;97612697;0;C22B;4;2017-06-01;2017-06-30;6580,11;6646,5;3983;0;60;1;Z;O;R
ENID_4081037148;97612697;0;C22B;5;2017-06-01;2017-06-30;1132,77;1155,89;1387;0;60;1;Z;O;R
ENID_4081037149;97612690;0;C22B;4;2017-06-01;2017-06-30;31806,78;32444,46;12754;0;20;1;Z;O;R
ENID_4081037149;97612690;0;C22B;5;2017-06-01;2017-06-30;5558,45;5762,49;4081;0;20;1;Z;O;R
ENID_4081037157;97612700;0;C22B;4;2017-06-01;2017-06-30;20027,21;20336,1;18534;0;60;1;Z;O;R
ENID_4081037157;97612700;0;C22B;5;2017-06-01;2017-06-30;3375,22;3477,2;6119;0;60;1;Z;O;R
ENID_4081037158;97612701;0;C22B;4;2017-06-01;2017-06-30;13969,34;14187,64;13098;0;60;1;Z;O;R
ENID_4081037158;97612701;0;C22B;5;2017-06-01;2017-06-30;2343,93;2420,55;4597;0;60;1;Z;O;R
ENID_4081037159;97612702;0;C22B;4;2017-06-01;2017-06-30;17089,92;17301,39;12688;0;60;1;Z;O;R
ENID_4081037159;97612702;0;C22B;5;2017-06-01;2017-06-30;4173,94;4286,6;6759;0;60;1;Z;O;R
