DR_ENID_EUPX_20170603_15.csv;;;;;;;;;;;;;;;
kOSD;ENID;;;;;;;;;;;;;;
kSE;EUPX;;;;;;;;;;;;;;
DCW;2017-06-03 10:14:00;;;;;;;;;;;;;;
NR;1;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
PPE;Nr licznika;Kod OT;Taryfa;Strefa;Data od;Data do;Wskazanie poprzednie;Wskazanie biezace;Zuzycie brutto[kWh];Straty[kWh];Mnozna;Wersja danych;Status Odczytu;Status Rozliczenia;Rodzaj Odczytu
ENID_4081037147;97612692;0;C22B;4;2017-05-01;2017-05-31;43447,36;44151,09;42224;0;60;1;Z;F;R
ENID_4081037147;97612692;0;C22B;5;2017-05-01;2017-05-31;8281,49;8549,44;16077;0;60;1;Z;F;R
ENID_4081037148;97612697;0;C22B;4;2017-05-01;2017-05-31;6547,87;6580,11;1934;0;60;1;Z;F;R
ENID_4081037148;97612697;0;C22B;5;2017-05-01;2017-05-31;1109,18;1132,77;1416;0;60;1;Z;F;R
ENID_4081037149;97612690;0;C22B;4;2017-05-01;2017-05-31;31475,66;31806,78;6622;0;20;1;Z;F;R
ENID_4081037149;97612690;0;C22B;5;2017-05-01;2017-05-31;5441,07;5558,45;2348;0;20;1;Z;F;R
ENID_4081037157;97612700;0;C22B;4;2017-05-01;2017-05-31;19704,64;20027,21;19354;0;60;1;Z;F;R
ENID_4081037157;97612700;0;C22B;5;2017-05-01;2017-05-31;3262,15;3375,22;6784;0;60;1;Z;F;R
ENID_4081037158;97612701;0;C22B;4;2017-05-01;2017-05-31;13760,6;13969,34;12524;0;60;1;Z;F;R
ENID_4081037158;97612701;0;C22B;5;2017-05-01;2017-05-31;2265,18;2343,93;4725;0;60;1;Z;F;R
ENID_4081037159;97612702;0;C22B;4;2017-05-01;2017-05-31;16863,29;17089,92;13598;0;60;1;Z;F;R
ENID_4081037159;97612702;0;C22B;5;2017-05-01;2017-05-31;4050,59;4173,94;7401;0;60;1;Z;F;R
