DR_ENID_EUPX_20170328_6.csv;;;;;;;;;;;;;;;
kOSD;ENID;;;;;;;;;;;;;;
kSE;EUPX;;;;;;;;;;;;;;
DCW;2017-03-28 12:01:31;;;;;;;;;;;;;;
NR;1;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
PPE;Nr licznika;Kod OT;Taryfa;Strefa;Data od;Data do;Wskazanie poprzednie;Wskazanie biezace;Zuzycie brutto[kWh];Straty[kWh];Mnozna;Wersja danych;Status Odczytu;Status Rozliczenia;Rodzaj Odczytu
ENID_4081037150;97612694;0;C12A;2;2017-02-26;2017-03-25;4193,21;4229,26;1442;0;40;1;Z;F;R
ENID_4081037150;97612694;0;C12A;3;2017-02-26;2017-03-25;3140,29;3214,06;2951;0;40;1;Z;F;R
ENID_4081037151;97612689;0;C12A;2;2017-02-26;2017-03-25;4354,95;4396,69;1252;0;30;1;Z;F;R
ENID_4081037151;97612689;0;C12A;3;2017-02-26;2017-03-25;3523,5;3618,62;2853;0;30;1;Z;F;R
ENID_4081037152;97612688;0;C12A;2;2017-02-26;2017-03-25;7121,32;7167,25;1378;0;30;1;Z;F;R
ENID_4081037152;97612688;0;C12A;3;2017-02-26;2017-03-25;5267,75;5373,09;3160;0;30;1;Z;F;R
ENID_4081037153;97612698;0;C12A;2;2017-02-26;2017-03-25;6354,4;6413,47;1181;0;20;1;Z;F;R
ENID_4081037153;97612698;0;C12A;3;2017-02-26;2017-03-25;5538,79;5661,97;2463;0;20;1;Z;F;R
ENID_4081037154;97612699;0;C12A;2;2017-02-26;2017-03-25;4770,49;4819,54;1471;0;30;1;Z;F;R
ENID_4081037154;97612699;0;C12A;3;2017-02-26;2017-03-25;4115,87;4224,79;3268;0;30;1;Z;F;R
ENID_4081037155;97612691;0;C12A;2;2017-02-26;2017-03-25;4215,36;4249,79;1377;0;40;1;Z;F;R
ENID_4081037155;97612691;0;C12A;3;2017-02-26;2017-03-25;3310,88;3385,05;2967;0;40;1;Z;F;R
ENID_4081037156;97612695;0;C12A;2;2017-02-26;2017-03-25;5205,31;5277,96;1453;0;20;1;Z;F;R
ENID_4081037156;97612695;0;C12A;3;2017-02-26;2017-03-25;4558,74;4730,74;3440;0;20;1;Z;F;R
ENID_4081037160;97612696;0;C12A;2;2017-02-26;2017-03-25;6439,37;6491,21;2074;0;40;1;Z;F;R
ENID_4081037160;97612696;0;C12A;3;2017-02-26;2017-03-25;4284,76;4398,82;4562;0;40;1;Z;F;R
ENID_4081037161;97612693;0;C12A;2;2017-02-26;2017-02-28;4571,07;4574,38;132,4;0;40;1;F;F;R
ENID_4081037161;97612693;0;C12A;3;2017-02-26;2017-02-28;4424,15;4432,78;345,2;0;40;1;F;F;R
ENID_4081064807;62230628;0;C11;1;2017-01-14;2017-02-19;85059;88114;3055;0;1;1;O;F;R
ENID_4081064807;62230628;0;C11;1;2017-02-20;2017-02-20;88114;88114;0;0;1;1;O;F;R
ENID_4081064807;62230628;0;C11;1;2017-02-21;2017-03-24;88114;89923;1809;0;1;1;O;F;R
