DR_ENID_EUPX_20170427_8.csv;;;;;;;;;;;;;;;
kOSD;ENID;;;;;;;;;;;;;;
kSE;EUPX;;;;;;;;;;;;;;
DCW;2017-04-27 10:12:40;;;;;;;;;;;;;;
NR;1;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
PPE;Nr licznika;Kod OT;Taryfa;Strefa;Data od;Data do;Wskazanie poprzednie;Wskazanie biezace;Zuzycie brutto[kWh];Straty[kWh];Mnozna;Wersja danych;Status Odczytu;Status Rozliczenia;Rodzaj Odczytu
ENID_4081037150;97612694;0;C12A;2;2017-03-26;2017-04-25;4229,26;4249,38;805;0;40;1;Z;F;R
ENID_4081037150;97612694;0;C12A;3;2017-03-26;2017-04-25;3214,06;3295,55;3260;0;40;1;Z;F;R
ENID_4081037151;97612689;0;C12A;2;2017-03-26;2017-04-25;4396,69;4419,05;671;0;30;1;Z;F;R
ENID_4081037151;97612689;0;C12A;3;2017-03-26;2017-04-25;3618,62;3711,36;2782;0;30;1;Z;F;R
ENID_4081037152;97612688;0;C12A;2;2017-03-26;2017-04-25;7167,25;7193,14;777;0;30;1;Z;F;R
ENID_4081037152;97612688;0;C12A;3;2017-03-26;2017-04-25;5373,09;5494,8;3651;0;30;1;Z;F;R
ENID_4081037153;97612698;0;C12A;2;2017-03-26;2017-04-25;6413,47;6450,68;744;0;20;1;Z;F;R
ENID_4081037153;97612698;0;C12A;3;2017-03-26;2017-04-25;5661,97;5816,27;3086;0;20;1;Z;F;R
ENID_4081037154;97612699;0;C12A;2;2017-03-26;2017-04-25;4819,54;4849,8;908;0;30;1;Z;F;R
ENID_4081037154;97612699;0;C12A;3;2017-03-26;2017-04-25;4224,79;4370,27;4364;0;30;1;Z;F;R
ENID_4081037155;97612691;0;C12A;2;2017-03-26;2017-04-25;4249,79;4271,03;850;0;40;1;Z;F;R
ENID_4081037155;97612691;0;C12A;3;2017-03-26;2017-04-25;3385,05;3468,49;3338;0;40;1;Z;F;R
ENID_4081037156;97612695;0;C12A;2;2017-03-26;2017-04-25;5277,96;5300,81;457;0;20;1;Z;F;R
ENID_4081037156;97612695;0;C12A;3;2017-03-26;2017-04-25;4730,74;4829,03;1966;0;20;1;Z;F;R
ENID_4081037160;97612696;0;C12A;2;2017-03-26;2017-04-25;6491,21;6523,74;1301;0;40;1;Z;F;R
ENID_4081037160;97612696;0;C12A;3;2017-03-26;2017-04-25;4398,82;4530,96;5286;0;40;1;Z;F;R
ENID_4081037161;97612693;0;C12A;2;2017-02-26;2017-03-25;4571,07;4614,3;1729;0;40;1;Z;F;R
ENID_4081037161;97612693;0;C12A;2;2017-03-26;2017-04-25;4614,3;4637,37;923;0;40;1;Z;F;R
ENID_4081037161;97612693;0;C12A;3;2017-02-26;2017-03-25;4424,15;4524,14;4000;0;40;1;Z;F;R
ENID_4081037161;97612693;0;C12A;3;2017-03-26;2017-04-25;4524,14;4618,73;3783;0;40;1;Z;F;R
