DR_ENID_EUPX_20170404_7.csv;;;;;;;;;;;;;;;
kOSD;ENID;;;;;;;;;;;;;;
kSE;EUPX;;;;;;;;;;;;;;
DCW;2017-04-04 10:42:03;;;;;;;;;;;;;;
NR;1;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
PPE;Nr licznika;Kod OT;Taryfa;Strefa;Data od;Data do;Wskazanie poprzednie;Wskazanie biezace;Zuzycie brutto[kWh];Straty[kWh];Mnozna;Wersja danych;Status Odczytu;Status Rozliczenia;Rodzaj Odczytu
ENID_4081037147;97612692;0;C22B;4;2017-03-01;2017-03-31;42029,05;42776,15;44826;0;60;1;Z;F;R
ENID_4081037147;97612692;0;C22B;5;2017-03-01;2017-03-31;7748,5;8020,59;16326;0;60;1;Z;F;R
ENID_4081037148;97612697;0;C22B;4;2017-03-01;2017-03-31;6454,15;6514,15;3600;0;60;1;Z;F;R
ENID_4081037148;97612697;0;C22B;5;2017-03-01;2017-03-31;1044,3;1082,47;2290;0;60;1;Z;F;R
ENID_4081037149;97612690;0;C22B;4;2017-03-01;2017-03-31;30829,17;31225,14;7919;0;20;1;Z;F;R
ENID_4081037149;97612690;0;C22B;5;2017-03-01;2017-03-31;5155,62;5332,89;3545;0;20;1;Z;F;R
ENID_4081037157;97612700;0;C22B;4;2017-03-01;2017-03-31;19029,48;19381,26;21107;0;60;1;Z;F;R
ENID_4081037157;97612700;0;C22B;5;2017-03-01;2017-03-31;3037,16;3151,14;6839;0;60;1;Z;F;R
ENID_4081037158;97612701;0;C22B;4;2017-03-01;2017-03-31;13307,97;13549,22;14475;0;60;1;Z;F;R
ENID_4081037158;97612701;0;C22B;5;2017-03-01;2017-03-31;2110,21;2188,53;4699;0;60;1;Z;F;R
ENID_4081037159;97612702;0;C22B;4;2017-03-01;2017-03-31;16390,23;16635,73;14730;0;60;1;Z;F;R
ENID_4081037159;97612702;0;C22B;5;2017-03-01;2017-03-31;3795,8;3927,96;7930;0;60;1;Z;F;R
