DR_ENID_EUPX_20170503_9.csv;;;;;;;;;;;;;;;
kOSD;ENID;;;;;;;;;;;;;;
kSE;EUPX;;;;;;;;;;;;;;
DCW;2017-05-03 10:14:31;;;;;;;;;;;;;;
NR;1;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
PPE;Nr licznika;Kod OT;Taryfa;Strefa;Data od;Data do;Wskazanie poprzednie;Wskazanie biezace;Zuzycie brutto[kWh];Straty[kWh];Mnozna;Wersja danych;Status Odczytu;Status Rozliczenia;Rodzaj Odczytu
ENID_4081037147;97612692;0;C22B;4;2017-04-01;2017-04-30;42776,15;43447,36;40273;0;60;1;Z;O;R
ENID_4081037147;97612692;0;C22B;5;2017-04-01;2017-04-30;8020,59;8281,49;15654;0;60;1;Z;O;R
ENID_4081037148;97612697;0;C22B;4;2017-04-01;2017-04-30;6514,15;6547,87;2023;0;60;1;Z;O;R
ENID_4081037148;97612697;0;C22B;5;2017-04-01;2017-04-30;1082,47;1109,18;1602;0;60;1;Z;O;R
ENID_4081037149;97612690;0;C22B;4;2017-04-01;2017-04-30;31225,14;31475,66;5010;0;20;1;Z;O;R
ENID_4081037149;97612690;0;C22B;5;2017-04-01;2017-04-30;5332,89;5441,07;2164;0;20;1;Z;O;R
ENID_4081037157;97612700;0;C22B;4;2017-04-01;2017-04-30;19381,26;19704,64;19403;0;60;1;Z;O;R
ENID_4081037157;97612700;0;C22B;5;2017-04-01;2017-04-30;3151,14;3262,15;6661;0;60;1;Z;O;R
ENID_4081037158;97612701;0;C22B;4;2017-04-01;2017-04-30;13549,22;13760,6;12683;0;60;1;Z;O;R
ENID_4081037158;97612701;0;C22B;5;2017-04-01;2017-04-30;2188,53;2265,18;4599;0;60;1;Z;O;R
ENID_4081037159;97612702;0;C22B;4;2017-04-01;2017-04-30;16635,73;16863,29;13654;0;60;1;Z;O;R
ENID_4081037159;97612702;0;C22B;5;2017-04-01;2017-04-30;3927,96;4050,59;7358;0;60;1;Z;O;R
