Zak³ad Energetyczny U¿ytecznoœci Publicznej S.A.;ZEUP_PGED_P_1761;MB_WSOR_PGE_O1_5884;DDGD/ZEUP_PGED_P_1761/2017-03-11/478650;2017-03-11 08:58:46

PPE;URD;Data;01:00;Status;02:00;Status;03:00;Status;04:00;Status;05:00;Status;06:00;Status;07:00;Status;08:00;Status;09:00;Status;10:00;Status;11:00;Status;12:00;Status;13:00;Status;14:00;Status;15:00;Status;16:00;Status;17:00;Status;18:00;Status;19:00;Status;20:00;Status;21:00;Status;22:00;Status;23:00;Status;00:00;Status
PL_ZEWD_1408000677_01;;2017-03-03;28,8840;0;28,5240;0;28,92;0;28,3560;0;28,6080;0;29,0040;0;29,46;0;23,40;0;23,7840;0;28,1640;0;32,1840;0;30,4440;0;33;0;41,6040;0;42,4320;0;37,38;0;33,78;0;39,48;0;47,3160;0;46,0920;0;49,5840;0;43,8120;0;38,04;0;30,48;0
PL_ZEWD_1432001305_02;;2017-03-03;40,689120;0;41,1588;0;38,044080;0;38,167680;0;38,9340;0;39,823920;0;26,005440;0;26,178480;0;44,6196;0;42,2712;0;22,322160;0;37,549680;0;37,722720;0;44,026320;0;41,455440;0;41,430720;0;42,122880;0;52,628880;0;58,561680;0;62,244960;0;61,478640;0;59,402160;0;58,363920;0;58,240320;0
PL_ZEWD_1434002713_04;;2017-03-03;14,8835;0;14,857750;0;15,166750;0;15,115250;0;14,7290;0;15,2440;0;11,5875;0;10,892250;0;10,2485;0;10,789250;0;10,8150;0;10,8150;0;10,6605;0;10,6605;0;10,583250;0;10,686250;0;10,5575;0;17,6130;0;21,913250;0;21,9905;0;22,325250;0;22,222250;0;22,067750;0;21,9905;0
PL_ZEWD_1434004825_09;;2017-03-03;0,1088328820;0;0,0948055330;0;0,0904522180;0;0,0899685160;0;0,1035121640;0;0,1243113370;0;0,1673607880;0;0,1900947680;0;0,1896110660;0;0,1833229440;0;0,1751000150;0;0,17074670;0;0,1726815060;0;0,17364891;0;0,1760674180;0;0,1842903470;0;0,1958991880;0;0,2171820630;0;0,2491063750;0;0,2631337240;0;0,2520085850;0;0,2225027810;0;0,18235554;0;0,1388223880;0
