DP_GZEO_EUPX_20180404_6.csv;;;;;;;;;;;;;;;;;;;;;;;;;;;
kOSD;GZEO;;;;;;;;;;;;;;;;;;;;;;;;;;
kSE;EUPX;;;;;;;;;;;;;;;;;;;;;;;;;;
DCW;06-05-2018 20:41;;;;;;;;;;;;;;;;;;;;;;;;;;
DD;04-04-2018;;;;;;;;;;;;;;;;;;;;;;;;;;
VV;6;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;2A
PLGZEO00000590748333000013400323;CP;24;2.113,+;2.103,+;2.103,+;2.110,+;2.099,+;2.098,+;2.386,+;2.255,+;2.353,+;2.226,+;2.257,+;2.196,+;2.217,+;2.162,+;2.195,+;2.166,+;2.203,+;2.189,+;2.203,+;2.154,+;2.139,+;2.163,+;2.119,+;2.112,+;.000,-
PLGZEO00000590748333000013399861;CP;24;11.741,+;11.245,+;11.243,+;11.366,+;11.504,+;11.996,+;12.038,+;13.559,+;12.692,+;12.051,+;11.604,+;11.429,+;12.390,+;11.778,+;12.638,+;13.384,+;14.080,+;14.002,+;14.307,+;15.642,+;16.307,+;15.256,+;13.330,+;12.414,+;.000,-
